PFBI	25.49	13.65
PFCB	74.68	49.41
PFED	40.0	30.4
PFIN	17.4	9.62
PFWD	25.32	16.36
PGNX	96.0	19.99
PHHM	47.62	8.13
PHIIK	41.74	16.25
PHMD	19.75	2.3
PHMDD	19.75	2.42
PICO	49.0	4.88
PIII	47.5	3.34
PINN	8.74	0.22
PLAB	64.12	1.5
PLBC	38.4	26.31
PLFE	26.31	4.04
PLPC	66.89	42.49
PLXS	156.81	11.5
PMCS	298.75	9.02
PMD	21.05	6.71
PMIC	12.25	10.2
PNBC	35.45	18.0
PNBK	30.5	16.05
PNCL	20.34	16.48
PNNW	36.88	28.75
PNRA	75.88	51.71
PNRG	86.75	68.55
PNSN	34.91	19.29
PNXQ	36.0	21.86
PODD	27.85	15.02
POLXF	14.0	0.17
POWI	68.0	20.43
POZN	21.88	7.23
PPBI	26.12	8.25
PPDI	70.35	33.5
PPHM	16.63	0.82
PQSC	27.11	17.68
PRAN	10.5	4.99
PRCP	39.25	10.92
PRGN	27.34	5.11
PRGX	52.12	5.77
PRKR	56.44	8.75
PRLS	24.38	1.86
PROJ	18.63	8.03
PROV	38.0	5.72
PRSP	46.48	27.38
PRST	200.0	74.0
PRTS	12.61	1.5
PRWT	5624.92	7.4
PRXI	18.62	0.6
PRXM	120.25	2.8
PSAU	43.8	23.56
PSBH	12.25	3.98
PSDV	12.14	0.92
PSEC	18.97	16.69
PSEM	85.25	14.99
